today,general_infoq5_organization,general_infoq1_province,general_infoq2_district,s2_cash_distribution_processq2_1_do_u_think_gave_right_people,s2_cash_distribution_processq2_3_how_mach_cash,s2_cash_distribution_processq2_5_travel_more_than_1_hour,s2_cash_distribution_processq2_6_feel_unsafe_when_travelling,s3_use_of_cash_assistanceq3_4_cash_improved_wellbeing_ur_hhd,s3_use_of_cash_assistanceq3_5_1_food,s3_use_of_cash_assistanceq3_5_2_kitchen_items_nfis,s3_use_of_cash_assistanceq3_5_3_hygiene_items_nfis,s3_use_of_cash_assistanceq3_5_4_clothes_nfis,s3_use_of_cash_assistanceq3_5_5_blankets_nfis,s3_use_of_cash_assistanceq3_5_6_rent,s3_use_of_cash_assistanceq3_5_7_shelter_repair,s3_use_of_cash_assistanceq3_5_8_health,s3_use_of_cash_assistanceq3_5_9_transportation,s3_use_of_cash_assistanceq3_5_10_utillites,s3_use_of_cash_assistanceq3_5_11_debt_repayment,s3_use_of_cash_assistanceq3_5_12_education,s3_use_of_cash_assistanceq3_5_13_saved,s5_multi_sector_outcome_indexq5_4_debt_compared,@_uuid,CSI,rCSI_newThreshold,FCS,FCS_Level,FCS_rCSI
2017-08-14,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,more_than_half,,,less_than_half,,,less,2079dac1-cc7b-4e22-85c2-fa1a633a03eb,4,2,43.5,3,3
2017-08-14,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,more_than_half,,,almost_nothing,,less_than_half,,,,,more_than_half,,,less,0a29ce0c-6598-4b31-89e9-0b80f66a4638,3,3,42,2,3
2017-08-14,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,,less_than_half,,less_than_half,,,same,9d3060d4-81a7-429a-ae23-604f92a82c99,3,3,40.5,2,3
2017-08-14,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,,,more_than_half,,,same,bde42f20-d1ce-4a78-ba89-92197b99ff9c,4,2,30.5,2,2
2017-08-14,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,less_than_half,,,,more_than_half,,,more_than_half,,,same,f2b582b9-85cf-420a-b30c-f0d03c98972a,3,3,35,2,3
2017-08-15,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,more_than_half,,,,less_than_half,less_than_half,,,,,less_than_half,,,same,b30bc018-8e80-4a8a-8800-3f3a10d99ca4,3,3,33.5,2,3
2017-08-15,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,,,,more_than_half,,,same,6c4ccc0a-5799-4540-bca6-025a048cbd63,2,3,33.5,2,3
2017-08-15,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,,,,less_than_half,,less_than_half,less,c7a29618-cfe2-48c8-89b2-46b01129d5d6,1,3,39.5,2,3
2017-08-15,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,more_than_half,,,,,,,less_than_half,,,,,,same,b798e91b-1dcb-4bc7-a6f8-a16aa156651c,4,2,30,2,2
2017-08-15,DRC,Farah,Farah,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,,,less_than_half,,,same,8173baef-a97b-4f22-a05b-9956af0d1174,4,2,32.5,2,2
2017-08-16,DRC,Kapisa,Tagab,yes,30000,no,no,yes_improved_a_lot,more_than_half,almost_nothing,,almost_nothing,,,,,,,less_than_half,,,more,c1b6594f-832e-458a-8c2b-c01f3c23151c,13,1,39.5,2,1
2017-08-16,DRC,Kapisa,Tagab,no_some_needy_people_did_not_get_assistance,20000,yes,no,yes_improved_a_little,almost_nothing,,,almost_nothing,,,,less_than_half,almost_nothing,,,,,same,fcd50e49-bd25-4c8b-8984-a7ae2d2f703d,4,2,43.5,3,3
2017-08-16,DRC,Kapisa,Tagab,yes,30000,no,no,yes_improved_a_little,less_than_half,almost_nothing,,almost_nothing,,,,less_than_half,,,less_than_half,,,more,4647236b-60d5-4566-8689-70082edd45be,7,2,40.5,2,2
2017-08-16,DRC,Kapisa,Mahmud_e_Raqi,yes,30000,no,no,yes_improved_a_little,less_than_half,almost_nothing,,almost_nothing,,less_than_half,,,,,less_than_half,,,more,453d7c52-20c7-445f-bcdf-62b3371a5f84,2,3,35.5,2,3
2017-08-16,DRC,Kapisa,Mahmud_e_Raqi,yes,30000,yes,no,yes_improved_a_little,less_than_half,,,almost_nothing,,,,less_than_half,,,,,,same,cb117fd6-01e4-413c-8104-2213f9d2327b,15,1,41,2,1
2017-08-16,DRC,Kapisa,Mahmud_e_Raqi,yes,30000,no,no,yes_improved_a_little,less_than_half,almost_nothing,,almost_nothing,,,,less_than_half,almost_nothing,,,,,more,b2c85320-dd18-4fed-9d84-fe28aabd949e,4,2,31.5,2,2
2017-08-16,DRC,Kapisa,Hisa_e_Awal_e_Kohestan,no_some_needy_people_did_not_get_assistance,30000,yes,no,yes_improved_a_little,almost_nothing,almost_nothing,,almost_nothing,,almost_nothing,,less_than_half,,,,,,same,a7935fc7-f38c-4006-8d69-af988a35fd38,14,1,49,3,2
2017-08-17,DRC,Kapisa,Hisa_e_Awal_e_Kohestan,yes,18000,no,no,yes_improved_a_little,less_than_half,almost_nothing,,almost_nothing,,,,,,,less_than_half,,,more,25e579dc-bf71-4b35-b612-a0ebed6ef332,6,2,38.5,2,2
2017-08-17,DRC,Kapisa,Mahmud_e_Raqi,yes,30000,no,yes,yes_improved_a_little,almost_nothing,,,almost_nothing,,,,,,,more_than_half,,,same,4770e053-6806-4b7d-ba3b-9770e955624f,15,1,43,3,2
2017-08-17,DRC,Kapisa,Mahmud_e_Raqi,yes,30000,no,no,yes_improved_a_little,almost_nothing,,,almost_nothing,almost_nothing,,,,,,more_than_half,,,same,a8b51056-67f6-4a70-a582-74d5fab7bac6,11,1,57.5,3,2
2017-08-20,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,,,,,,,,,,,more_than_half,,,more,4f20c4d3-9578-43cc-b92e-63812f33c8a6,3,3,21.5,1,2
2017-08-20,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,more_than_half,,,,,,,,,,less_than_half,,,same,a96d752f-9f4f-4782-bdc1-eb4b01deea5d,7,2,30.5,2,2
2017-08-20,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_little,more_than_half,,,,,,,,,,,,,less,ba2eb1d0-8113-4daa-bd4a-92dd19848d28,7,2,37,2,2
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,,,,,,same,3d2ad6c6-546f-44e5-a6d6-2d5a588080fb,3,3,44.5,3,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,no,yes_improved_a_lot,less_than_half,,,,,,,less_than_half,,less_than_half,,,,less,783b77e8-66d6-407d-b1ef-5e345a58bb41,2,3,38.5,2,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,no,yes_improved_a_lot,more_than_half,,,,less_than_half,,,less_than_half,,,,,,less,abaa275a-69d8-4c0f-b62e-7ef072cab342,3,3,41.5,2,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,no,yes_improved_a_lot,more_than_half,,,less_than_half,,less_than_half,,less_than_half,,,,,,less,37022dcb-953a-433c-a254-0e06a5830ea2,2,3,31.5,2,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,yes,yes_improved_a_little,more_than_half,,,less_than_half,less_than_half,,,less_than_half,,,,,,less,e72fce71-f424-46a1-aae4-cb4d05511def,2,3,36,2,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,yes,yes_improved_a_little,more_than_half,,,less_than_half,,,,less_than_half,,,,,,less,bb5bf66e-96b2-4bde-b1e2-fb629f77ace0,2,3,36.5,2,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,no,yes_improved_a_lot,less_than_half,,,,less_than_half,,,more_than_half,less_than_half,,,,,less,e1fe3ee9-8794-4fa4-ad17-2b671b18a676,8,2,45.5,3,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,yes,yes_improved_a_lot,more_than_half,,,less_than_half,,less_than_half,,less_than_half,,,,,,less,ee74e48e-172e-4005-aeb7-4f5e007be127,3,3,52.5,3,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,yes,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,less_than_half,,,,,less,f3049aa4-a398-4719-855a-dffa936d1dca,1,3,73.5,3,3
2017-08-21,ACTED,Kunduz,Emam_saheb,yes,30000,yes,yes,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,,,more_than_half,,,less,cdec261b-3eb2-45d8-8177-870299a75e0a,2,3,53.5,3,3
2017-08-21,NRC,Balkh,Mazar_e_Sharif,yes,26000,no,no,yes_improved_a_lot,less_than_half,almost_nothing,less_than_half,,,more_than_half,,more_than_half,,,,,,more,61c9bd9f-114e-489c-b959-7ce79bc7e71c,3,3,28.5,2,3
2017-08-21,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,,less_than_half,less_than_half,,,more_than_half,,more_than_half,,,,,,more,fce1582c-577d-4c60-b37f-6f35bd00626b,3,3,26,1,2
2017-08-21,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,,,less_than_half,,,more_than_half,,more_than_half,,,,,,more,7c10bac1-07eb-4225-8e4f-fd6db506c413,3,3,32.5,2,3
2017-08-21,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,,less_than_half,,,,more_than_half,,less_than_half,,,,,,more,eef5b03c-f5f4-43b9-82b4-f2d2799d4ae4,3,3,22,1,2
2017-08-21,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,more_than_half,,,,,more_than_half,,less_than_half,,,,,,more,d47b04ec-daf4-499f-90a8-54188c369aaf,3,3,25.5,1,2
2017-08-21,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,more_than_half,,,,,,,less_than_half,,less_than_half,,,,more,2a862b9d-42c6-4493-8b35-ac7569725be9,8,2,37,2,2
2017-08-21,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,more_than_half,,less_than_half,,,,,almost_nothing,,less_than_half,,,,same,be3e3c43-22d7-426f-afd2-bafd2ca91404,16,1,50,3,2
2017-08-21,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_little,more_than_half,,,,,,,,,less_than_half,,,,more,9f502cab-ad6c-4198-80b2-0fdbd0aed9f5,5,2,53.5,3,3
2017-08-21,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,less_than_half,,,,,,,less_than_half,,,less_than_half,,,same,bfb8858f-a3c9-4d30-8ebe-6c8c23de5088,10,1,44.5,3,2
2017-08-21,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,more_than_half,,,,,,,,,,less_than_half,,,more,4e0a165f-a7eb-407a-a73c-879cfeb3887b,13,1,19.5,1,1
2017-08-21,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_little,more_than_half,,,,,,,,,,,,,more,b627741b-5b0e-4f82-b56b-b72de6b00638,12,1,30,2,1
2017-08-21,ACTED,Badakhshan,Fayzabad,yes,30000,yes,no,yes_improved_a_lot,more_than_half,,,,,,,,,,less_than_half,,,more,80fe37e7-c6a9-4103-b923-b012e8f31770,20,1,25,1,1
2017-08-21,PIN,Jawzjan,Shiberghan,yes,14000,no,no,yes_improved_a_lot,,,,,,,,less_than_half,,,,,,less,8952e8b0-d65c-490f-8831-2680902dce2c,6,2,30.5,2,2
2017-08-21,PIN,Jawzjan,Shiberghan,yes,14000,yes,no,yes_improved_a_lot,almost_all,,,less_than_half,,almost_nothing,,less_than_half,,,,,,less,109264c1-a9c6-4822-8b8d-d2ea00ba9065,3,3,28,1,2
2017-08-21,PIN,Jawzjan,Shiberghan,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,less_than_half,,less_than_half,,less_than_half,almost_nothing,,,,,less,866e1e82-9196-484c-b4d0-ca1626ccb556,3,3,44.5,3,3
2017-08-21,PIN,Jawzjan,Shiberghan,yes,14000,yes,no,yes_improved_a_little,less_than_half,,,,,,,less_than_half,,less_than_half,,,,less,b26b4f53-9c52-44b4-8967-404981804fdc,7,2,31,2,2
2017-08-21,PIN,Jawzjan,Shiberghan,yes,14000,no,no,yes_improved_a_little,,less_than_half,,,,less_than_half,,less_than_half,,,,,,less,4e74a159-1984-42bd-8b42-0cf4f76bdd6f,7,2,33.5,2,2
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,more_than_half,less_than_half,,,,,,,,less_than_half,less_than_half,,,less,0b698d67-48a5-4c3c-96d8-0c0fafddc4ca,2,3,58.5,3,3
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,more_than_half,almost_nothing,,,,,,less_than_half,,less_than_half,almost_nothing,,,less,c2c0ad20-c8bd-42f9-b9f4-94ca99013abe,16,1,49.5,3,2
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_little,,,,,,,,,,,more_than_half,,,more,e2312f58-cb93-46db-b050-58e8f511ede5,23,1,32,2,1
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_lot,more_than_half,,,,,,,,,,,,,same,d559be2a-4d07-4063-ab1a-fb8b3e4eee58,14,1,37.5,2,1
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_little,more_than_half,,,,,,,,,,,less_than_half,,same,76e4b07c-1469-4c5d-88ba-0a80e2d5dae1,8,2,46.5,3,3
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,yes,no,yes_improved_a_little,more_than_half,,,,,less_than_half,,,,,,,,more,4773693b-4106-4fb2-8170-775c535241b3,7,2,41.5,2,2
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_little,more_than_half,,,,,,,less_than_half,,,,,,more,e2b2c4bc-61c7-46ff-a746-be2a1662d978,14,1,32,2,1
2017-08-22,ACTED,Badakhshan,Fayzabad,yes,30000,no,no,yes_improved_a_little,less_than_half,,,,,,,,,,more_than_half,,,same,71005e2c-97f4-488a-9c32-e3adb0699d94,13,1,30.5,2,1
2017-08-22,PIN,Jawzjan,Shiberghan,yes,14000,no,yes,yes_improved_a_little,,,,,,less_than_half,,more_than_half,,,,,,less,ea810308-ce2f-475e-92bc-f57475da21c6,7,2,69,3,3
2017-08-22,PIN,Jawzjan,Shiberghan,yes,14000,yes,yes,yes_improved_a_lot,less_than_half,,,almost_nothing,,,,,,,,,,more,9b9a597b-1112-4b2b-983d-c8e0f7cea54e,7,2,63.5,3,3
2017-08-22,PIN,Jawzjan,Shiberghan,yes,14000,no,yes,yes_improved_a_lot,more_than_half,,,,,,,less_than_half,,,,,,less,b68c1eb5-28f1-4948-906b-9972bbb93524,7,2,47,3,3
2017-08-22,PIN,Jawzjan,Shiberghan,yes,14000,no,yes,yes_improved_a_lot,,less_than_half,,,,,,more_than_half,,,,,,same,1bb5e1fa-4bda-4158-9bd6-4d44fb1e0b5a,7,2,31.5,2,2
2017-08-22,PIN,Jawzjan,Shiberghan,yes,14000,no,yes,yes_improved_a_lot,,more_than_half,less_than_half,,,,,,,,,,,less,da356eec-333a-4793-af72-0fa6a113362d,7,2,23.5,1,1
2017-08-22,ACTED,Baghlan,Pul_e_khumri,yes,18000,no,no,yes_improved_a_lot,almost_all,,,,,,,,,,,,,same,6f32a888-9ddf-4254-81f4-da7c92d31ed2,3,3,38.5,2,3
2017-08-22,ACTED,Baghlan,Pul_e_khumri,yes,18000,no,no,yes_improved_a_lot,more_than_half,,,,,,,less_than_half,,,,,,same,7d2c680f-cae3-4e2e-883e-377cca95dffc,5,2,44.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,yes,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,,,,,,less,c24e67e9-fdc8-4636-9595-4b96d48be004,2,3,46.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,yes,yes_improved_a_lot,more_than_half,,,less_than_half,,less_than_half,,less_than_half,,,,,,less,a400bf8e-bb7b-4df5-9891-5363316fbce1,2,3,52.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,yes,yes_improved_a_little,more_than_half,,,less_than_half,,less_than_half,,less_than_half,,,,,,less,effdea2a-6db2-4403-ae95-17c653878f18,1,3,74.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,yes,yes_improved_a_little,more_than_half,,,,,less_than_half,,less_than_half,,,,,,less,0ed35cd2-708b-4ac3-9d22-92b5bfa59127,1,3,44.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,yes,yes_improved_a_little,more_than_half,,,less_than_half,,less_than_half,,less_than_half,,,,,,same,5ec88f17-bdde-412f-aafe-b3467c60d9ed,1,3,72.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,less_than_half,,,more_than_half,,,less,b839508d-e75c-4508-851b-f7383f741164,1,3,50.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,more_than_half,,,,,less_than_half,,,,less_than_half,,,,same,c5040a20-75d0-4028-874a-036d9a789456,1,3,47.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,less_than_half,,,more_than_half,,,same,2d56ac06-7ac8-4cce-9024-79b67f16c0bb,3,3,59.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,less_than_half,,,less_than_half,,,same,1c7856db-c941-422b-b217-4a806f679b25,2,3,27,1,2
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,less_than_half,,,less_than_half,,less_than_half,,less_than_half,,,,,,same,61e10560-caa1-4c5a-b459-1dd1bc9d2c97,3,3,42.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,yes,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,,,,,,same,115c8832-6919-4da9-a831-1ce9ee0a7895,1,3,39,2,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,yes,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,,,,,,same,6107bcfb-7c3e-42f2-8cc4-aab78767dd8c,3,3,52.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,more_than_half,,,,,less_than_half,,less_than_half,,,,,,same,0ebfc550-290c-4594-b2e7-2dc4f374a7d0,2,3,74.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,less_than_half,more_than_half,,,,,,,,,,,,same,0f15cfad-d26d-4e55-83d7-1df28be552b9,1,3,61,3,3
2017-08-22,ACTED,Kunduz,Khanabad,no_some_richer_households_got_assistance,30000,yes,no,yes_improved_a_little,less_than_half,,,,,,,less_than_half,,more_than_half,,,,less,ac8dcf46-283a-4e8c-873f-2f217ee9333d,3,3,46,3,3
2017-08-22,ACTED,Kunduz,Khanabad,no_some_richer_households_got_assistance,30000,yes,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,less_than_half,,,less_than_half,,,same,579be049-d683-42db-bdb5-dd46e9736782,3,3,43,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,less_than_half,,more_than_half,,,,less,e7a91699-08fc-4ae6-ad81-b2370da06440,3,3,52.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,more_than_half,,,,,less_than_half,,,,,,,,same,bc65937b-ba09-4c24-b036-897ebb2347e6,3,3,40,2,3
2017-08-22,ACTED,Kunduz,Khanabad,no_some_richer_households_got_assistance,30000,yes,no,yes_improved_a_little,more_than_half,,,,,less_than_half,,less_than_half,,,,,,same,66447c6c-83ca-408a-a48c-07667daffd42,4,2,47.5,3,3
2017-08-22,ACTED,Kunduz,Khanabad,yes,30000,yes,no,yes_improved_a_little,more_than_half,less_than_half,,,,,,less_than_half,,,,,,same,026a22aa-fbf6-4fa6-92d9-8adda1cae67d,3,3,37.5,2,3
2017-08-22,ACTED,Badakhshan,Eshkashem,yes,18000,no,no,yes_improved_a_lot,more_than_half,less_than_half,,,,,,,,,less_than_half,,,less,19e3d03b-cabc-46f1-98cf-4ae89aa88267,7,2,50,3,3
2017-08-22,ACTED,Badakhshan,Eshkashem,yes,18000,no,no,yes_improved_a_little,,,,,,,,,,,more_than_half,,,less,01c9a436-4a71-411e-bd7a-9c1d11556670,7,2,52.5,3,3
2017-08-22,ACTED,Badakhshan,Zebak,yes,18000,no,no,yes_improved_a_little,more_than_half,,,almost_nothing,,less_than_half,,almost_nothing,,,,,,less,bf46faf8-3487-488f-bcf1-21f0412820dd,10,1,52.5,3,2
2017-08-22,ACTED,Badakhshan,Eshkashem,yes,18000,no,no,yes_improved_a_little,almost_nothing,,,,,,,,,,almost_all,,,less,89004f19-3f6b-4975-a0a6-00e7bb3acf38,7,2,58,3,3
2017-08-22,ACTED,Badakhshan,Eshkashem,yes,18000,no,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,,,,more_than_half,,,same,52ff4e5f-d60a-4b3a-a732-c354471791ab,5,2,43,3,3
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,more_than_half,less_than_half,,,,more_than_half,,,,,,,,more,c556ee8e-cf89-4c14-afb2-df300d2d78db,3,3,28.5,2,3
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,almost_nothing,less_than_half,,,,more_than_half,,less_than_half,,,,,,same,065cbc3a-29a2-4a8c-ada0-fa0313357273,3,3,33.5,2,3
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,more_than_half,,less_than_half,,,more_than_half,,less_than_half,,,,,,same,ce86f16f-a3ca-4ef6-9343-b98be5ef86f9,3,3,31.5,2,3
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,yes,yes_improved_a_lot,more_than_half,,less_than_half,,,more_than_half,,,less_than_half,,,,,same,279733a5-9349-443a-a38d-0764d0db3a68,3,3,32.5,2,3
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,more_than_half,,,,,more_than_half,,less_than_half,,,,,,less,0741879f-5f9b-45c4-901b-10cdc6c2295e,3,3,24.5,1,2
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,almost_nothing,,,,,,more_than_half,more_than_half,,,,,,less,c3af4af3-34d3-4932-8032-f75eac7ed55d,3,3,26.5,1,2
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,more_than_half,less_than_half,,,,,,more_than_half,less_than_half,,,,,less,81cabd6f-c945-42ee-a1a8-7ee21373b71c,3,3,23,1,2
2017-08-22,NRC,Balkh,Mazar_e_Sharif,yes,26000,yes,no,yes_improved_a_lot,more_than_half,,,,,,,more_than_half,,,more_than_half,,,less,f02ce73a-5b6a-480f-aa1f-85a2e6107c7d,3,3,24.5,1,2
